"commit url","type","before","after","baseline result","detected result","equal to baseline","oracle index","detected index","note"
"https://github.com/refdiff-study/vim/commit/1dd45fb4f3371f0256653b2186c8b4b3d26b3f41","CHANGE_SIGNATURE","src/gui_w32.c:gui_mch_stop_blink","src/gui_w32.c:gui_mch_stop_blink","TP","TP",True,8,284,""
"https://github.com/refdiff-study/git/commit/6862ebbfcbdd44b68dbdcfecd432432bdf22b2e5","CHANGE_SIGNATURE","sha1_file.c:check_and_freshen_nonlocal","sha1_file.c:check_and_freshen_nonlocal","TP","TP",True,9,295,""
"https://github.com/refdiff-study/linux/commit/6e04b103568983bd699fac96b80a9b96ede68118","EXTRACT","drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_enable_rcfw_channel","drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_rcfw_start_irq","TP","TP",True,10,297,""
"https://github.com/refdiff-study/php-src/commit/6c035f53f143c065aa3befbdbacd30ce691cff2a","EXTRACT","Zend/zend_ini.c:ZEND_INI_DISP","Zend/zend_ini.c:zend_ini_parse_bool","TP","FN",False,11,"",""
"https://github.com/refdiff-study/jq/commit/3a8c8f4747313d324f4309af66e2211319eccffd","EXTRACT","src/compile.c:gen_foreach","src/compile.c:bind_alternation_matchers","TP","FN",False,12,"",""
"https://github.com/refdiff-study/redis/commit/08e1c8e820031751bd58736cc334dda1bc55cb5c","EXTRACT","deps/jemalloc/src/ctl.c:arena_i_purge_ctl","deps/jemalloc/src/ctl.c:arena_i_decay","TP","FN",False,13,"",""
"https://github.com/refdiff-study/redis/commit/cb9dde3280244ec3b449f081639c37dd5a1916ab","EXTRACT","src/module.c:moduleUnload","src/module.c:moduleUnregisterCommands","TP","TP",True,14,536,""
"https://github.com/refdiff-study/obs-studio/commit/8a59d68e477233d324995342814a3a18162197b9","EXTRACT","libobs/obs-properties.c:obs_proprety_text_type","libobs/obs-properties.c:obs_property_text_type","TP","TP",True,15,537,""
"https://github.com/refdiff-study/tmux/commit/f56f09ea3871d3099dd31030501b982a4243a372","EXTRACT","mode-tree.c:mode_tree_key","mode-tree.c:mode_tree_check_selected","TP","TP",True,16,538,""
"https://github.com/refdiff-study/darknet/commit/00d483697a6e395ef6776320cd1e52a04f4367be","EXTRACT","src/activations.c:activate","src/activations.c:relu_activate","TP","TP",True,17,540,""
"https://github.com/refdiff-study/toxcore/commit/22b1ebb46e5470d919e1f6896c99a82c29b443d3","EXTRACT","toxcore/DHT.c:closelist_nodes","toxcore/DHT.c:list_nodes","TP","TP",True,18,544,""
"https://github.com/refdiff-study/toxcore/commit/0207fcdfb0e43d425abb026b08c074a6822e0349","EXTRACT","toxcore/Messenger.c:do_receipts","toxcore/Messenger.c:friend_received_packet","TP","TP",True,19,545,""
"https://github.com/refdiff-study/darknet/commit/8c5364f58569eaeb5582a4915b36b24fc5570c76","INLINE","src/detection_layer.c:get_detection_layer_locations","src/detection_layer.c:forward_detection_layer","TP","TP",True,20,560,""
